City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Oistins,BB,13.0667,-59.5333,299.2,94,40,3.6,scattered clouds
335,Altay,CN,47.8667,88.1167,286.24,35,45,0.44,scattered clouds
336,Tateyama,JP,34.9833,139.8667,290.62,54,0,4.25,clear sky
337,Ambilobe,MG,-13.2,49.05,301.05,74,92,0.87,overcast clouds
338,Codrington,AU,-38.2667,141.9667,294.88,49,7,5.23,clear sky
339,Weligama,LK,5.9667,80.4167,303.98,63,100,3.86,overcast clouds
340,Haapiti,PF,-17.5667,-149.8667,301.0,78,95,2.71,light rain
341,Dostpur,IN,26.2833,82.4667,308.78,14,100,3.0,overcast clouds
342,Sitka,US,57.0531,-135.33,280.09,65,100,5.14,light rain
343,Chibuto,MZ,-24.6867,33.5306,295.23,75,0,3.47,clear sky
344,Mananjary,MG,-21.2167,48.3333,297.31,76,90,3.32,overcast clouds
