City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Srednekolymsk,RU,2022-12-21 20:44:22,67.45,153.6833,-5.3,90,7,2.19
160,Pangody,RU,2022-12-21 20:44:23,65.85,74.4859,-11.56,98,100,8.08
161,Kargasok,RU,2022-12-21 20:44:23,59.0556,80.8572,-18.33,100,71,4.92
162,Torrington,US,2022-12-21 20:44:24,41.8007,-73.1212,38.05,59,20,2.71
163,Banda Aceh,ID,2022-12-21 20:44:24,5.5577,95.3222,78.46,79,95,3.49
164,Russell,US,2022-12-21 20:44:25,32.3502,-85.1999,48.0,87,100,5.75
165,Ponta Do Sol,PT,2022-12-21 20:44:26,32.6667,-17.1,67.71,88,77,3.11
166,Hit,IQ,2022-12-21 20:44:26,33.6416,42.8251,59.02,63,97,5.53
167,Bosaso,SO,2022-12-21 20:44:27,11.2842,49.1816,75.04,81,11,3.11
168,Half Moon Bay,US,2022-12-21 20:44:27,37.4636,-122.4286,62.58,65,0,6.91
169,Ibra,OM,2022-12-21 20:44:28,22.6906,58.5334,67.44,51,100,3.85
170,Xiantao,CN,2022-12-21 20:44:28,30.3833,113.4,44.71,35,0,13.06
171,Faya,SA,2022-12-21 20:44:28,18.3851,42.4509,51.91,58,39,5.08
172,Bereda,ES,2022-12-21 20:44:29,43.2686,-7.5406,58.41,98,98,9.48
173,Maarianhamina,AX,2022-12-21 20:44:29,60.0973,19.9348,39.06,87,20,6.91
174,Shubarshi,KZ,2022-12-21 20:41:23,48.5872,57.1869,19.13,93,100,4.29
175,Sao Felix Do Xingu,BR,2022-12-21 20:44:30,-6.6447,-51.995,78.93,78,83,3.11
176,Airai,TL,2022-12-21 20:44:31,-8.9266,125.4092,59.86,90,100,1.05
177,Sinnamary,GF,2022-12-21 20:44:31,5.3833,-52.95,77.95,82,98,12.03
178,Yanam,IN,2022-12-21 20:44:32,16.7333,82.2167,72.73,73,98,5.73
179,Naze,JP,2022-12-21 20:44:32,28.3667,129.4833,56.32,58,42,22.62
180,Baykit,RU,2022-12-21 20:44:33,61.67,96.37,-2.31,99,100,1.97
181,Okhotsk,RU,2022-12-21 20:44:33,59.3833,143.3,24.33,90,100,12.19
182,Mizdah,LY,2022-12-21 20:44:33,31.4451,12.9801,52.95,68,20,6.11
183,Makakilo City,US,2022-12-21 20:44:34,21.3469,-158.0858,79.12,69,40,12.66
184,Cidreira,BR,2022-12-21 20:44:34,-30.1811,-50.2056,71.83,76,3,14.32
185,Kaitangata,NZ,2022-12-21 20:44:35,-46.2817,169.8464,60.84,65,20,9.95
186,Korem,ET,2022-12-21 20:44:35,12.5058,39.5228,50.09,75,18,0.31
187,Rawson,AR,2022-12-21 20:40:59,-43.3002,-65.1023,79.9,40,69,12.06
188,Filingue,NE,2022-12-21 20:45:36,14.3521,3.3168,72.45,19,100,12.66
189,Fairbanks,US,2022-12-21 20:45:37,64.8378,-147.7164,-32.84,60,20,0.0
190,Upernavik,GL,2022-12-21 20:45:37,72.7868,-56.1549,2.5,98,100,15.64
191,Jaciara,BR,2022-12-21 20:45:37,-15.9653,-54.9683,80.04,74,86,4.74
192,Gold Coast,AU,2022-12-21 20:42:11,-28.0,153.4333,72.18,79,100,0.0
193,Nyurba,RU,2022-12-21 20:45:38,63.2842,118.3319,-38.09,100,48,2.08
194,Sussex,US,2022-12-21 20:45:39,41.1834,-74.6663,40.05,59,0,1.99
195,Sangar,RU,2022-12-21 20:45:39,63.9242,127.4739,-36.29,100,44,2.33
196,Mindelo,CV,2022-12-21 20:45:40,16.8901,-24.9804,74.75,60,20,20.71
197,Asfi,MA,2022-12-21 20:45:40,32.2994,-9.2372,62.6,78,18,12.1
198,Santa Rosa,PH,2022-12-21 20:44:36,14.3122,121.1114,78.78,80,87,3.38
199,Kirensk,RU,2022-12-21 20:45:41,57.7853,108.1119,8.6,94,100,4.18
200,Touros,BR,2022-12-21 20:45:41,-5.1989,-35.4608,79.84,78,61,12.21
201,Awjilah,LY,2022-12-21 20:45:42,29.1081,21.2869,53.13,59,4,6.38
202,Kahului,US,2022-12-21 20:41:55,20.8947,-156.47,81.84,63,20,17.27
203,Aksarka,RU,2022-12-21 20:45:42,66.5606,67.7975,-1.7,83,80,11.68
204,Woodward,US,2022-12-21 20:41:25,36.4337,-99.3904,45.63,70,100,19.57
205,Raudeberg,NO,2022-12-21 20:45:43,61.9875,5.1352,38.95,63,100,8.5
206,Dakar,SN,2022-12-21 20:42:10,14.6937,-17.4441,77.88,67,0,21.83
207,Beyneu,KZ,2022-12-21 20:41:19,45.3167,55.2,26.24,63,35,5.99
208,Kavieng,PG,2022-12-21 20:45:44,-2.5744,150.7967,81.32,76,100,5.88
209,Olafsvik,IS,2022-12-21 20:45:44,64.8945,-23.7142,31.96,64,90,28.63
210,Pozoblanco,ES,2022-12-21 20:45:45,38.3791,-4.8483,49.42,92,100,3.6
211,Nouakchott,MR,2022-12-21 20:45:45,18.0858,-15.9785,73.33,30,0,11.23
212,Ancud,CL,2022-12-21 20:45:46,-41.8697,-73.8203,62.83,72,26,19.91
213,Batamshinskiy,KZ,2022-12-21 20:45:46,50.5594,58.2747,7.48,99,88,8.43
214,Lompoc,US,2022-12-21 20:45:47,34.6391,-120.4579,71.01,38,20,6.91
215,Minab,IR,2022-12-21 20:45:47,27.1467,57.0801,70.12,17,10,3.44
216,Oktyabrskoye,RU,2022-12-21 20:45:48,43.0645,44.7417,17.74,93,100,0.0
217,Itoman,JP,2022-12-21 20:45:48,26.1247,127.6694,60.82,61,75,29.93
218,Husavik,IS,2022-12-21 20:45:49,66.0449,-17.3389,27.61,71,100,17.45
219,San Cristobal,VE,2022-12-21 20:44:19,7.7669,-72.225,78.98,48,12,2.28
220,Haines Junction,CA,2022-12-21 20:44:21,60.7522,-137.5108,-25.65,68,100,1.14
221,Zhaotong,CN,2022-12-21 20:45:50,27.3167,103.7167,36.28,95,100,4.25
222,Rio Gallegos,AR,2022-12-21 20:43:32,-51.6226,-69.2181,68.05,52,20,12.66
223,Tiksi,RU,2022-12-21 20:45:50,71.6872,128.8694,-15.63,95,99,6.82
224,Taganak,PH,2022-12-21 20:45:51,6.0833,118.3,77.14,84,16,16.22
225,Tenenkou,ML,2022-12-21 20:45:51,14.4572,-4.9169,72.64,17,100,12.66
226,Ixtapa,MX,2022-12-21 20:45:52,20.7,-105.2,84.42,46,84,6.13
227,Khatanga,RU,2022-12-21 20:45:52,71.9667,102.5,-16.11,78,25,16.55
228,Vrangel,RU,2022-12-21 20:45:52,42.7297,133.0839,28.24,85,100,9.22
229,Hasaki,JP,2022-12-21 20:45:53,35.7333,140.8333,42.22,83,100,21.0
230,Palana,RU,2022-12-21 20:45:53,59.1167,159.9667,20.88,71,100,19.26
231,Sokoni,TZ,2022-12-21 20:45:54,-6.4333,39.55,80.56,83,100,11.63
232,Myitkyina,MM,2022-12-21 20:45:54,25.3833,97.4,56.44,73,3,2.55
233,Vila Do Maio,CV,2022-12-21 20:46:55,15.1333,-23.2167,75.99,69,0,19.66
234,Dongsheng,CN,2022-12-21 20:46:55,39.8161,109.9776,7.5,43,1,7.47
235,Narsaq,GL,2022-12-21 20:46:56,60.9167,-46.05,7.02,65,0,8.66
236,Premia De Mar,ES,2022-12-21 20:46:56,41.4921,2.3652,58.95,76,44,5.32
