,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
342,Sitka,US,280.09,light rain,57.0531,-135.33,Aspen Suites Hotel
343,Chibuto,MZ,295.23,clear sky,-24.6867,33.5306,DESHENG
344,Mananjary,MG,297.31,overcast clouds,-21.2167,48.3333,Ideal Hotel Annexe
345,Alta Floresta,BR,295.08,broken clouds,-9.8756,-56.0861,Villas Hotel
347,Talnakh,RU,269.65,light snow,69.4865,88.3972,Талнах
350,Jacareacanga,BR,297.74,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
352,Takoradi,GH,299.07,light rain,4.8845,-1.7554,Hillcrest
354,Nanortalik,GL,272.81,broken clouds,60.1432,-45.2371,Kap Farvel
355,Chuy,UY,288.25,broken clouds,-33.6971,-53.4616,Alerces
358,Kargil,IN,277.25,broken clouds,34.5667,76.1,Border view
359,The Pas,CA,274.16,fog,53.8251,-101.2541,Wescana Inn
364,Olafsvik,IS,273.86,overcast clouds,64.8945,-23.7142,North Star Hotel Snæfellsnes
366,Potsdam,DE,279.88,broken clouds,52.3989,13.0657,Holiday Inn Express
367,Nelson,NZ,284.78,clear sky,-41.2833,173.2833,Skylight Villa
369,Kostomuksha,RU,274.45,overcast clouds,64.571,30.5767,Хозяюшка
370,Hermosillo,MX,296.95,clear sky,29.0667,-110.9667,Lucerna
373,Mykolayiv,UA,284.06,overcast clouds,46.9659,31.9974,Миколаїв
374,Alamosa,US,272.14,clear sky,37.4695,-105.87,40 Winks Inn
378,Ures,MX,293.69,clear sky,29.4333,-110.4,Hacienda Quinta Nápoles
379,Hualmay,PE,296.37,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
380,Kahului,US,296.16,moderate rain,20.8947,-156.47,Maui Seaside Hotel
383,Vestmannaeyjar,IS,276.43,overcast clouds,63.4427,-20.2734,Westman Islands Inn
386,College,US,276.33,broken clouds,64.8569,-147.8028,BEST WESTERN PLUS Pioneer Park Inn
389,Algiers,DZ,283.05,clear sky,36.7525,3.042,AD Hôtel
390,Havre-Saint-Pierre,CA,274.35,overcast clouds,50.2334,-63.5986,Complexe MV
391,Gatton,AU,295.17,overcast clouds,-27.55,152.2833,Royal Hotel
398,Salinopolis,BR,298.09,light rain,-0.6136,-47.3561,Hotel Salinópolis
399,Korla,CN,291.54,clear sky,41.7597,86.1469,Silver Star Hotel
401,Kirkwall,GB,272.18,few clouds,58.9848,-2.9587,The Kirkwall Hotel
402,Kapuskasing,CA,274.15,overcast clouds,49.4169,-82.4331,Travelodge
403,Ketchikan,US,280.41,overcast clouds,55.3422,-131.6461,Cape Fox Lodge
411,Fairbanks,US,276.34,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel
414,Whitehorse,CA,275.58,broken clouds,60.7161,-135.0538,Town & Mountain Hotel
415,Richards Bay,ZA,296.45,clear sky,-28.783,32.0377,Protea Hotel
417,Geraldton,AU,296.38,few clouds,-28.7667,114.6,Ocean Centre Hotel
419,Bobrov,RU,288.95,overcast clouds,51.0961,40.0333,Бобров
421,Batagay,RU,273.11,overcast clouds,67.6333,134.6333,Киселях
422,Mudgee,AU,296.36,clear sky,-32.5943,149.5871,Oriental Hotel
423,Havoysund,NO,278.28,broken clouds,70.9963,24.6622,Havøysund Hotell
428,General Roca,AR,289.3,overcast clouds,-39.0333,-67.5833,Hotel Austral
430,Bahia Blanca,AR,286.05,scattered clouds,-38.7196,-62.2724,Hotel Austral Bahía
432,Sisimiut,GL,270.98,broken clouds,66.9395,-53.6735,Sømandshjemmet
433,Mwene-Ditu,CD,293.1,light rain,-7.0,23.45,Hôtel KAMAS
434,Iguape,BR,293.16,clear sky,-24.7081,-47.5553,Pousada dos Lampiões
438,Iisalmi,FI,280.72,broken clouds,63.5592,27.1907,Original Sokos Hotel Koljonvirta
439,Rawson,AR,286.26,scattered clouds,-43.3002,-65.1023,Hotel Deportivo
442,Minatitlan,MX,298.29,overcast clouds,17.9833,-94.5167,Best Western Minatitlan
443,Frontera,MX,297.77,broken clouds,26.9333,-101.45,Quirino
445,Grenada,ES,290.19,clear sky,37.1882,-3.6067,Allegro Granada
446,Ashland,US,276.54,clear sky,40.8167,-82.2665,Quality Inn
453,Senanga,ZM,292.54,few clouds,-16.1167,23.2667,Senanga Safari Lodge
455,Port Said,EG,291.14,clear sky,31.2565,32.2841,The New Continental Hotel
456,Gazanjyk,TM,296.3,overcast clouds,39.2446,55.5154,Şemşadyñ mamasy
463,Colonia,DE,279.24,clear sky,50.9333,6.95,Wasserturm Hotel Cologne
464,Natal,BR,297.51,scattered clouds,-5.795,-35.2094,Natal Palace Hotel
465,Taunton,GB,283.37,overcast clouds,51.0211,-3.1047,Royal Ashton Hotel
466,Kinloss,GB,278.33,light rain,57.6349,-3.5701,Crown & Anchor
470,Ibia,BR,290.88,broken clouds,-19.4783,-46.5389,Hotel Paulista
479,Eureka,US,289.68,broken clouds,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
480,Gornopravdinsk,RU,289.46,overcast clouds,60.05,69.9,Гостинный двор
481,Leshukonskoye,RU,273.07,scattered clouds,64.8989,45.7622,"Интернат МБОУ ""Лешуконская СОШ"""
485,Derzhavinsk,KZ,295.38,broken clouds,51.1,66.3167,Ишим
486,Santa Fe,AR,291.47,light rain,-31.6333,-60.7,Intersur Hotel
487,Savonlinna,FI,283.18,clear sky,61.8699,28.88,Kylpylähotelli Kasino
488,Dryden,CA,274.31,snow,49.7833,-92.7503,Holiday Inn Express
489,Fortuna,US,283.52,broken clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
490,Eden,US,286.91,broken clouds,36.4885,-79.7667,Arbor Ridge Retirement Home
491,Praia Da Vitoria,PT,289.68,scattered clouds,38.7333,-27.0667,Salles
492,Barranca,PE,296.53,overcast clouds,-10.75,-77.7667,Emperador
495,Moron,AR,291.01,clear sky,-34.6534,-58.6198,La Esquina
497,Shache,CN,292.08,overcast clouds,38.4167,77.2406,莎車新盛賓舘
498,Haines Junction,CA,277.12,broken clouds,60.7522,-137.5108,Parkside Inn
499,Beyneu,KZ,294.76,overcast clouds,45.3167,55.2,Johan yu
502,Puerto Escondido,MX,299.22,overcast clouds,15.85,-97.0667,Hotel Barlovento
503,Kaseda,JP,292.52,overcast clouds,31.4167,130.3167,加世田ホテルよしや
505,Maroantsetra,MG,298.4,light rain,-15.4333,49.7333,Coco Beach
507,Luanda,AO,298.15,overcast clouds,-8.8368,13.2343,Hotel Forum
508,Kunming,CN,297.11,clear sky,25.0389,102.7183,邦克饭店
509,Fairmont,US,281.8,broken clouds,39.4851,-80.1426,Clarion Inn
511,Jalu,LY,295.93,clear sky,29.0331,21.5482,فندق جالو السياحي
513,West Fargo,US,277.15,mist,46.875,-96.9004,DoubleTree by Hilton West Fargo Sanford Medical Center Area
515,Yenagoa,NG,298.1,light rain,4.9247,6.2642,Peretimi Hotels Ltd.
516,Durant,US,287.35,mist,33.994,-96.3708,Quality Inn
519,Inuvik,CA,267.63,few clouds,68.3499,-133.7218,Capital Suites
520,Necochea,AR,286.11,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
522,Riviere-Au-Renard,CA,273.31,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
523,Hurricane,US,293.41,scattered clouds,37.1753,-113.2899,Wingate by Wyndham Hurricane Near Zion National Park
524,Chapada Dos Guimaraes,BR,293.96,few clouds,-15.4606,-55.7497,Pousada Rios
525,Ryotsu,JP,286.61,clear sky,38.0833,138.4333,佐渡グランドホテル
530,Ardakan,IR,293.64,overcast clouds,32.31,54.0175,هتل رستوران باغ سرای اردکان
532,Krasnovishersk,RU,283.81,light rain,60.4078,57.082,Отель
536,Trelew,AR,285.53,scattered clouds,-43.249,-65.3051,Patagonia Suites & Apart
537,Praya,CV,295.45,broken clouds,14.9215,-23.5087,Casa Sodadi
539,Itaporanga,BR,296.78,overcast clouds,-7.3044,-38.1503,Hotel Rainha do Vale
540,Lavrentiya,RU,262.73,scattered clouds,65.5833,-171.0,Фортуна
543,Vila Praia De Ancora,PT,288.21,overcast clouds,41.811,-8.8526,Apartamentos Turísticos de Vila Praia de Âncora
544,Fort Saint James,CA,272.02,clear sky,54.4333,-124.25,The View Hotel
545,Erenhot,CN,284.87,overcast clouds,43.6475,111.9767,Oulen hotel
546,Catamarca,AR,289.69,clear sky,-28.4696,-65.7852,Hotel de Turismo
549,Cap-Aux-Meules,CA,275.16,overcast clouds,47.3821,-61.8597,Auberge Madeli
550,Stornoway,GB,279.13,light rain,58.2093,-6.3865,County Hotel
552,Dunedin,NZ,285.25,few clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
554,San Juan,AR,292.12,few clouds,-31.5375,-68.5364,Hotel San Francisco
556,Steyregg,AT,280.47,few clouds,48.2851,14.37,Gästehaus Würzburger
557,Kula,TR,284.02,overcast clouds,38.5473,28.6498,Villa Estet Bağ
558,Zalesovo,RU,285.08,overcast clouds,53.9939,84.7431,22RUS
561,Perth,AU,294.08,broken clouds,-31.9333,115.8333,Oxford Hotel
562,Mazsalaca,LV,278.61,overcast clouds,57.8633,25.0547,Miks
563,Los Llanos De Aridane,ES,289.89,clear sky,28.6585,-17.9182,Valle Aridane
566,Ferrol,ES,289.1,overcast clouds,43.4832,-8.2369,Hotel El Suizo
